activity_id,location_id,activity_name,must_see_place,typical_duration_mins,estimated_cost_inr
1,1,Heritage walk,Delhi Market,90,389
2,1,River rafting,Delhi Garden,180,1969
3,1,Wildlife safari,Delhi Market,240,2275
4,1,Food tour,Delhi Fort,120,1086
5,1,Boat ride,Delhi Viewpoint,60,746
6,1,City tour,Delhi Market,180,679
7,1,Shopping tour,Delhi Fort,120,1010
8,2,City tour,Mumbai Garden,180,665
9,2,Hiking,Mumbai Market,120,738
10,2,Beach day,Mumbai Market,480,0
11,2,Paragliding,Mumbai Fort,45,2715
12,2,River rafting,Mumbai Fort,180,2130
13,2,Tea plantation tour,Mumbai Garden,120,961
14,2,Heritage walk,Mumbai Viewpoint,90,322
15,2,Boat ride,Mumbai Temple,60,752
16,2,Wildlife safari,Mumbai Market,240,1972
17,3,Wildlife safari,Bengaluru Garden,240,2087
18,3,Shopping tour,Bengaluru Temple,120,1059
19,3,Tea plantation tour,Bengaluru Heritage Site,120,1040
20,3,Hiking,Bengaluru Garden,120,606
21,3,Museum visit,Bengaluru Heritage Site,90,411
22,3,Beach day,Bengaluru Temple,480,0
23,3,Heritage walk,Bengaluru Heritage Site,90,379
24,4,Tea plantation tour,Chennai Temple,120,1020
25,4,Hiking,Chennai Fort,120,713
26,4,Beach day,Chennai Viewpoint,480,0
27,4,Heritage walk,Chennai Heritage Site,90,336
28,4,Boat ride,Chennai Viewpoint,60,895
29,4,Paragliding,Chennai Heritage Site,45,3221
30,4,Food tour,Chennai Temple,120,981
31,5,Museum visit,Kolkata Garden,90,513
32,5,Paragliding,Kolkata Temple,45,2857
33,5,Food tour,Kolkata Fort,120,1091
34,5,Tea plantation tour,Kolkata Heritage Site,120,890
35,5,Wildlife safari,Kolkata Garden,240,2553
36,5,Hiking,Kolkata Garden,120,560
37,5,Boat ride,Kolkata Garden,60,748
38,5,Heritage walk,Kolkata Garden,90,445
39,5,River rafting,Kolkata Temple,180,1958
40,6,Museum visit,Hyderabad Garden,90,444
41,6,Paragliding,Hyderabad Viewpoint,45,2865
42,6,City tour,Hyderabad Garden,180,713
43,6,Food tour,Hyderabad Garden,120,812
44,6,Boat ride,Hyderabad Fort,60,602
45,6,Shopping tour,Hyderabad Market,120,1230
46,6,Beach day,Hyderabad Fort,480,0
47,6,Wildlife safari,Hyderabad Market,240,2475
48,6,Heritage walk,Hyderabad Heritage Site,90,332
49,6,Hiking,Hyderabad Heritage Site,120,690
50,7,Hiking,Pune Market,120,626
51,7,Wildlife safari,Pune Heritage Site,240,2452
52,7,Shopping tour,Pune Fort,120,1324
53,7,Museum visit,Pune Heritage Site,90,514
54,7,Tea plantation tour,Pune Market,120,902
55,7,Heritage walk,Pune Market,90,314
56,7,Food tour,Pune Garden,120,1137
57,7,City tour,Pune Market,180,787
58,7,River rafting,Pune Viewpoint,180,2006
59,7,Beach day,Pune Temple,480,0
60,8,Tea plantation tour,Ahmedabad Temple,120,745
61,8,Museum visit,Ahmedabad Temple,90,427
62,8,City tour,Ahmedabad Heritage Site,180,778
63,8,Paragliding,Ahmedabad Garden,45,3289
64,8,Hiking,Ahmedabad Fort,120,703
65,8,Boat ride,Ahmedabad Fort,60,856
66,8,Food tour,Ahmedabad Fort,120,834
67,8,River rafting,Ahmedabad Fort,180,1857
68,8,Wildlife safari,Ahmedabad Fort,240,2019
69,8,Beach day,Ahmedabad Viewpoint,480,0
70,9,Museum visit,Jaipur Garden,90,560
71,9,Beach day,Jaipur Temple,480,0
72,9,City tour,Jaipur Market,180,849
73,9,River rafting,Jaipur Fort,180,1809
74,9,Hiking,Jaipur Viewpoint,120,737
75,9,Shopping tour,Jaipur Fort,120,1358
76,9,Tea plantation tour,Jaipur Heritage Site,120,915
77,9,Paragliding,Jaipur Viewpoint,45,2600
78,9,Food tour,Jaipur Garden,120,1070
79,10,Shopping tour,Lucknow Garden,120,1229
80,10,Hiking,Lucknow Heritage Site,120,627
81,10,Beach day,Lucknow Fort,480,0
82,10,Paragliding,Lucknow Market,45,3194
83,10,Heritage walk,Lucknow Heritage Site,90,436
84,10,Museum visit,Lucknow Market,90,426
85,10,River rafting,Lucknow Garden,180,1851
86,10,Food tour,Lucknow Fort,120,1118
87,10,Boat ride,Lucknow Garden,60,800
88,10,City tour,Lucknow Garden,180,779
89,11,Wildlife safari,Agra Heritage Site,240,2460
90,11,Tea plantation tour,Agra Temple,120,746
91,11,Paragliding,Agra Heritage Site,45,3590
92,11,Shopping tour,Agra Temple,120,1235
93,11,Food tour,Agra Fort,120,1111
94,11,Heritage walk,Agra Garden,90,356
95,11,River rafting,Agra Temple,180,1871
96,11,Boat ride,Agra Viewpoint,60,854
97,12,Boat ride,Varanasi Garden,60,600
98,12,Tea plantation tour,Varanasi Heritage Site,120,733
99,12,River rafting,Varanasi Temple,180,2085
100,12,City tour,Varanasi Temple,180,886
101,12,Beach day,Varanasi Market,480,0
102,12,Wildlife safari,Varanasi Fort,240,1933
103,12,Hiking,Varanasi Fort,120,599
104,13,Museum visit,Amritsar Heritage Site,90,483
105,13,Hiking,Amritsar Viewpoint,120,557
106,13,Wildlife safari,Amritsar Viewpoint,240,2099
107,13,Boat ride,Amritsar Heritage Site,60,844
108,13,Paragliding,Amritsar Garden,45,2621
109,13,Heritage walk,Amritsar Garden,90,344
110,13,Shopping tour,Amritsar Fort,120,1245
111,13,River rafting,Amritsar Fort,180,2078
112,14,Shopping tour,Nagpur Temple,120,1306
113,14,River rafting,Nagpur Heritage Site,180,1731
114,14,Food tour,Nagpur Garden,120,1090
115,14,Wildlife safari,Nagpur Temple,240,2672
116,14,Boat ride,Nagpur Viewpoint,60,840
117,14,Tea plantation tour,Nagpur Viewpoint,120,997
118,14,Heritage walk,Nagpur Garden,90,301
119,15,Food tour,Indore Market,120,1057
120,15,City tour,Indore Market,180,813
121,15,Wildlife safari,Indore Garden,240,1894
122,15,Museum visit,Indore Temple,90,481
123,15,Paragliding,Indore Fort,45,3609
124,15,Hiking,Indore Temple,120,587
125,15,Shopping tour,Indore Market,120,1033
126,15,Boat ride,Indore Fort,60,702
127,15,River rafting,Indore Temple,180,1818
128,15,Beach day,Indore Garden,480,0
129,16,Wildlife safari,Bhopal Temple,240,1806
130,16,Hiking,Bhopal Heritage Site,120,562
131,16,Beach day,Bhopal Market,480,0
132,16,River rafting,Bhopal Temple,180,1807
133,16,Shopping tour,Bhopal Fort,120,1401
134,16,Museum visit,Bhopal Viewpoint,90,533
135,16,Paragliding,Bhopal Garden,45,3299
136,16,Tea plantation tour,Bhopal Garden,120,973
137,16,Boat ride,Bhopal Temple,60,800
138,16,Heritage walk,Bhopal Fort,90,348
139,17,Tea plantation tour,Srinagar Garden,120,726
140,17,River rafting,Srinagar Heritage Site,180,1674
141,17,Hiking,Srinagar Garden,120,663
142,17,Paragliding,Srinagar Garden,45,3118
143,17,Boat ride,Srinagar Heritage Site,60,676
144,17,Food tour,Srinagar Heritage Site,120,1027
145,17,Heritage walk,Srinagar Fort,90,385
146,17,City tour,Srinagar Fort,180,695
147,18,Paragliding,Shimla Temple,45,3007
148,18,River rafting,Shimla Market,180,1516
149,18,Museum visit,Shimla Temple,90,516
150,18,Boat ride,Shimla Fort,60,634
151,18,Wildlife safari,Shimla Viewpoint,240,2243
152,18,Beach day,Shimla Viewpoint,480,0
153,18,City tour,Shimla Viewpoint,180,723
154,18,Hiking,Shimla Market,120,746
155,18,Heritage walk,Shimla Temple,90,448
156,18,Tea plantation tour,Shimla Viewpoint,120,1033
157,19,Tea plantation tour,Manali Garden,120,820
158,19,Boat ride,Manali Heritage Site,60,733
159,19,Beach day,Manali Heritage Site,480,0
160,19,Wildlife safari,Manali Heritage Site,240,1979
161,19,Shopping tour,Manali Garden,120,1261
162,19,Museum visit,Manali Temple,90,463
163,19,River rafting,Manali Market,180,1945
164,19,Heritage walk,Manali Temple,90,345
165,20,Museum visit,Ooty Fort,90,431
166,20,Paragliding,Ooty Viewpoint,45,2807
167,20,City tour,Ooty Garden,180,741
168,20,Shopping tour,Ooty Temple,120,1382
169,20,Food tour,Ooty Heritage Site,120,1145
170,20,Heritage walk,Ooty Fort,90,336
171,20,Wildlife safari,Ooty Temple,240,1941
172,20,Tea plantation tour,Ooty Heritage Site,120,1036
173,21,Heritage walk,Munnar Temple,90,433
174,21,Shopping tour,Munnar Market,120,1499
175,21,Food tour,Munnar Temple,120,889
176,21,Hiking,Munnar Market,120,617
177,21,Museum visit,Munnar Viewpoint,90,412
178,21,Tea plantation tour,Munnar Viewpoint,120,705
179,21,River rafting,Munnar Fort,180,2243
180,21,Wildlife safari,Munnar Garden,240,2367
181,21,Boat ride,Munnar Viewpoint,60,858
182,21,City tour,Munnar Heritage Site,180,679
183,22,River rafting,Darjeeling Temple,180,2208
184,22,Museum visit,Darjeeling Viewpoint,90,487
185,22,Tea plantation tour,Darjeeling Temple,120,928
186,22,Beach day,Darjeeling Garden,480,0
187,22,Heritage walk,Darjeeling Heritage Site,90,313
188,22,Wildlife safari,Darjeeling Viewpoint,240,2677
189,22,Hiking,Darjeeling Heritage Site,120,699
190,22,Food tour,Darjeeling Fort,120,986
191,22,Paragliding,Darjeeling Market,45,3697
192,22,City tour,Darjeeling Viewpoint,180,731
193,23,Heritage walk,Nainital Viewpoint,90,427
194,23,River rafting,Nainital Viewpoint,180,1691
195,23,Food tour,Nainital Viewpoint,120,871
196,23,Tea plantation tour,Nainital Garden,120,940
197,23,Paragliding,Nainital Fort,45,3298
198,23,Wildlife safari,Nainital Market,240,2087
199,23,Hiking,Nainital Temple,120,525
200,24,Hiking,Rishikesh Heritage Site,120,552
201,24,River rafting,Rishikesh Heritage Site,180,1648
202,24,Heritage walk,Rishikesh Temple,90,323
203,24,Boat ride,Rishikesh Market,60,883
204,24,Tea plantation tour,Rishikesh Garden,120,1005
205,24,Food tour,Rishikesh Garden,120,1126
206,24,Paragliding,Rishikesh Heritage Site,45,3613
207,24,Beach day,Rishikesh Viewpoint,480,0
208,24,Shopping tour,Rishikesh Garden,120,1111
209,24,Museum visit,Rishikesh Garden,90,423
210,25,Shopping tour,Mussoorie Viewpoint,120,1409
211,25,Hiking,Mussoorie Temple,120,564
212,25,Boat ride,Mussoorie Viewpoint,60,815
213,25,Wildlife safari,Mussoorie Heritage Site,240,2666
214,25,Heritage walk,Mussoorie Fort,90,323
215,25,River rafting,Mussoorie Garden,180,1802
216,25,Tea plantation tour,Mussoorie Market,120,900
217,26,Wildlife safari,Kodaikanal Garden,240,1826
218,26,River rafting,Kodaikanal Temple,180,1576
219,26,Tea plantation tour,Kodaikanal Heritage Site,120,1019
220,26,Hiking,Kodaikanal Fort,120,680
221,26,Paragliding,Kodaikanal Temple,45,2828
222,26,Heritage walk,Kodaikanal Fort,90,365
223,26,Food tour,Kodaikanal Fort,120,1115
224,26,Museum visit,Kodaikanal Garden,90,514
225,27,Hiking,Coorg Temple,120,745
226,27,Beach day,Coorg Heritage Site,480,0
227,27,Museum visit,Coorg Temple,90,512
228,27,Paragliding,Coorg Market,45,3748
229,27,Boat ride,Coorg Heritage Site,60,698
230,27,Tea plantation tour,Coorg Garden,120,765
231,27,City tour,Coorg Market,180,772
232,27,Shopping tour,Coorg Fort,120,1187
233,28,Paragliding,Gulmarg Fort,45,3217
234,28,Wildlife safari,Gulmarg Temple,240,2139
235,28,Museum visit,Gulmarg Garden,90,438
236,28,Tea plantation tour,Gulmarg Garden,120,1023
237,28,Boat ride,Gulmarg Fort,60,873
238,28,City tour,Gulmarg Garden,180,764
239,28,Heritage walk,Gulmarg Heritage Site,90,426
240,28,Shopping tour,Gulmarg Garden,120,1196
241,28,Hiking,Gulmarg Garden,120,656
242,28,Beach day,Gulmarg Fort,480,0
243,29,Tea plantation tour,Mount Abu Market,120,970
244,29,Food tour,Mount Abu Heritage Site,120,923
245,29,Museum visit,Mount Abu Fort,90,496
246,29,Paragliding,Mount Abu Viewpoint,45,3023
247,29,River rafting,Mount Abu Garden,180,1695
248,29,Hiking,Mount Abu Temple,120,724
249,29,Shopping tour,Mount Abu Heritage Site,120,1078
250,29,Wildlife safari,Mount Abu Temple,240,1990
251,30,Tea plantation tour,Kasauli Viewpoint,120,846
252,30,Shopping tour,Kasauli Heritage Site,120,1056
253,30,Boat ride,Kasauli Garden,60,661
254,30,Hiking,Kasauli Fort,120,589
255,30,Heritage walk,Kasauli Fort,90,448
256,30,City tour,Kasauli Fort,180,821
257,30,Paragliding,Kasauli Market,45,3273
258,30,Wildlife safari,Kasauli Market,240,2479
259,30,Museum visit,Kasauli Garden,90,524
260,30,Food tour,Kasauli Viewpoint,120,903
261,31,Hiking,Lonavala Fort,120,664
262,31,City tour,Lonavala Heritage Site,180,685
263,31,Food tour,Lonavala Fort,120,985
264,31,Paragliding,Lonavala Fort,45,2590
265,31,Boat ride,Lonavala Fort,60,820
266,31,Wildlife safari,Lonavala Viewpoint,240,2499
267,31,Shopping tour,Lonavala Fort,120,1258
268,31,Tea plantation tour,Lonavala Fort,120,752
269,31,Museum visit,Lonavala Temple,90,553
270,31,Heritage walk,Lonavala Heritage Site,90,387
271,32,Hiking,Mahabaleshwar Market,120,645
272,32,Shopping tour,Mahabaleshwar Viewpoint,120,1333
273,32,Heritage walk,Mahabaleshwar Viewpoint,90,322
274,32,Museum visit,Mahabaleshwar Fort,90,569
275,32,Beach day,Mahabaleshwar Fort,480,0
276,32,River rafting,Mahabaleshwar Temple,180,2028
277,33,Tea plantation tour,Panchgani Viewpoint,120,924
278,33,Food tour,Panchgani Garden,120,1173
279,33,Wildlife safari,Panchgani Fort,240,1833
280,33,Hiking,Panchgani Market,120,662
281,33,River rafting,Panchgani Temple,180,2108
282,33,Heritage walk,Panchgani Market,90,402
283,33,Museum visit,Panchgani Heritage Site,90,582
284,34,Shopping tour,Kullu Heritage Site,120,1156
285,34,Museum visit,Kullu Market,90,534
286,34,Food tour,Kullu Market,120,995
287,34,Beach day,Kullu Fort,480,0
288,34,Tea plantation tour,Kullu Garden,120,925
289,34,Heritage walk,Kullu Temple,90,448
290,34,Wildlife safari,Kullu Garden,240,1832
291,34,Paragliding,Kullu Fort,45,3086
292,34,River rafting,Kullu Temple,180,1601
293,35,Heritage walk,Leh Temple,90,392
294,35,Shopping tour,Leh Temple,120,1121
295,35,Paragliding,Leh Market,45,2770
296,35,River rafting,Leh Viewpoint,180,2130
297,35,Wildlife safari,Leh Heritage Site,240,2003
298,35,Beach day,Leh Fort,480,0
299,35,Hiking,Leh Heritage Site,120,624
300,35,Tea plantation tour,Leh Fort,120,806
301,35,City tour,Leh Market,180,829
302,35,Museum visit,Leh Temple,90,540
303,36,Tea plantation tour,Alleppey Fort,120,829
304,36,Beach day,Alleppey Heritage Site,480,0
305,36,Food tour,Alleppey Garden,120,1160
306,36,Boat ride,Alleppey Market,60,864
307,36,Heritage walk,Alleppey Market,90,302
308,36,River rafting,Alleppey Market,180,1765
309,36,Wildlife safari,Alleppey Garden,240,2613
310,36,Paragliding,Alleppey Market,45,3069
311,36,City tour,Alleppey Fort,180,822
312,36,Shopping tour,Alleppey Temple,120,1248
313,37,Boat ride,Gokarna Viewpoint,60,806
314,37,River rafting,Gokarna Market,180,2172
315,37,Wildlife safari,Gokarna Heritage Site,240,2196
316,37,Beach day,Gokarna Garden,480,0
317,37,Museum visit,Gokarna Market,90,535
318,37,Tea plantation tour,Gokarna Market,120,735
319,37,Hiking,Gokarna Heritage Site,120,620
320,37,City tour,Gokarna Fort,180,774
321,37,Food tour,Gokarna Viewpoint,120,1196
322,38,Tea plantation tour,Pondicherry Viewpoint,120,971
323,38,Food tour,Pondicherry Fort,120,912
324,38,Heritage walk,Pondicherry Temple,90,430
325,38,City tour,Pondicherry Heritage Site,180,642
326,38,Paragliding,Pondicherry Market,45,2985
327,38,Boat ride,Pondicherry Temple,60,691
328,38,Museum visit,Pondicherry Heritage Site,90,558
329,38,Wildlife safari,Pondicherry Viewpoint,240,1922
330,39,City tour,Varkala Temple,180,669
331,39,Boat ride,Varkala Temple,60,755
332,39,Food tour,Varkala Heritage Site,120,1192
333,39,River rafting,Varkala Market,180,1524
334,39,Museum visit,Varkala Heritage Site,90,599
335,39,Shopping tour,Varkala Fort,120,1403
336,40,River rafting,Hampi Garden,180,1817
337,40,Boat ride,Hampi Fort,60,708
338,40,City tour,Hampi Heritage Site,180,809
339,40,Paragliding,Hampi Fort,45,3438
340,40,Beach day,Hampi Viewpoint,480,0
341,40,Museum visit,Hampi Fort,90,500
342,40,Shopping tour,Hampi Temple,120,1270
343,40,Heritage walk,Hampi Temple,90,442
344,40,Food tour,Hampi Garden,120,919
345,40,Wildlife safari,Hampi Garden,240,2699
346,41,Shopping tour,Vadodara Viewpoint,120,1263
347,41,Wildlife safari,Vadodara Fort,240,1895
348,41,Museum visit,Vadodara Fort,90,424
349,41,Tea plantation tour,Vadodara Viewpoint,120,714
350,41,Boat ride,Vadodara Market,60,667
351,41,City tour,Vadodara Fort,180,796
352,41,Hiking,Vadodara Fort,120,665
353,41,River rafting,Vadodara Viewpoint,180,2031
354,41,Heritage walk,Vadodara Viewpoint,90,363
355,41,Paragliding,Vadodara Fort,45,3180
356,42,Tea plantation tour,Surat Heritage Site,120,778
357,42,Hiking,Surat Fort,120,748
358,42,City tour,Surat Temple,180,643
359,42,River rafting,Surat Garden,180,1612
360,42,Food tour,Surat Garden,120,895
361,42,Museum visit,Surat Heritage Site,90,519
362,42,Shopping tour,Surat Heritage Site,120,1121
363,42,Heritage walk,Surat Garden,90,316
364,42,Wildlife safari,Surat Temple,240,2532
365,43,Wildlife safari,Jodhpur Market,240,2177
366,43,Hiking,Jodhpur Garden,120,555
367,43,Food tour,Jodhpur Fort,120,1059
368,43,Beach day,Jodhpur Heritage Site,480,0
369,43,Museum visit,Jodhpur Fort,90,468
370,43,Shopping tour,Jodhpur Heritage Site,120,1121
371,43,Paragliding,Jodhpur Temple,45,3748
372,43,River rafting,Jodhpur Garden,180,1704
373,44,Wildlife safari,Bhubaneswar Fort,240,2595
374,44,Food tour,Bhubaneswar Fort,120,1164
375,44,Beach day,Bhubaneswar Temple,480,0
376,44,Hiking,Bhubaneswar Viewpoint,120,607
377,44,Museum visit,Bhubaneswar Market,90,455
378,44,Tea plantation tour,Bhubaneswar Heritage Site,120,851
379,44,Heritage walk,Bhubaneswar Temple,90,379
380,44,River rafting,Bhubaneswar Fort,180,1836
381,44,Shopping tour,Bhubaneswar Fort,120,1247
382,44,Boat ride,Bhubaneswar Heritage Site,60,783
383,45,River rafting,Manali Viewpoint,180,1593
384,45,Food tour,Manali Heritage Site,120,858
385,45,Wildlife safari,Manali Heritage Site,240,1906
386,45,Museum visit,Manali Viewpoint,90,554
387,45,City tour,Manali Market,180,765
388,45,Paragliding,Manali Viewpoint,45,3154
389,45,Tea plantation tour,Manali Temple,120,916
390,46,Paragliding,Gulmarg Fort,45,2706
391,46,River rafting,Gulmarg Garden,180,1935
392,46,Shopping tour,Gulmarg Market,120,1413
393,46,Food tour,Gulmarg Heritage Site,120,1149
394,46,Wildlife safari,Gulmarg Market,240,1828
395,46,City tour,Gulmarg Garden,180,815
396,46,Hiking,Gulmarg Viewpoint,120,593
397,46,Boat ride,Gulmarg Viewpoint,60,728
398,47,Boat ride,Vadodara Fort,60,760
399,47,River rafting,Vadodara Market,180,1903
400,47,Museum visit,Vadodara Viewpoint,90,565
401,47,Wildlife safari,Vadodara Temple,240,2340
402,47,Shopping tour,Vadodara Viewpoint,120,1261
403,47,Food tour,Vadodara Fort,120,937
404,48,Wildlife safari,Kullu Garden,240,1819
405,48,Food tour,Kullu Garden,120,974
406,48,Shopping tour,Kullu Heritage Site,120,1205
407,48,Paragliding,Kullu Market,45,3527
408,48,Hiking,Kullu Fort,120,519
409,48,Beach day,Kullu Viewpoint,480,0
410,48,Museum visit,Kullu Heritage Site,90,417
411,48,Boat ride,Kullu Garden,60,714
412,49,Boat ride,Leh Market,60,703
413,49,Wildlife safari,Leh Garden,240,2202
414,49,City tour,Leh Temple,180,659
415,49,Food tour,Leh Heritage Site,120,936
416,49,Heritage walk,Leh Market,90,353
417,49,Museum visit,Leh Fort,90,575
418,49,Paragliding,Leh Fort,45,2855
419,50,Boat ride,Mahabaleshwar Temple,60,730
420,50,River rafting,Mahabaleshwar Fort,180,1629
421,50,Paragliding,Mahabaleshwar Viewpoint,45,3540
422,50,Wildlife safari,Mahabaleshwar Temple,240,2301
423,50,Museum visit,Mahabaleshwar Garden,90,483
424,50,Heritage walk,Mahabaleshwar Fort,90,447
425,50,Hiking,Mahabaleshwar Temple,120,665
